TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
statechart.Statechart,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9559139784946237,83,80
statechart.Statechart1Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8802141011443337,325,266
statechart.Statechart1,BRANCH;METHODNOEXCEPTION;OUTPUT,0.593484680693983,365,135
statechart.Statechart12Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8073206986250465,317,193
statechart.Statechart12,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6002875485334256,353,138
statechart.Statechart13Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8687600644122383,432,337
statechart.Statechart13,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5933109833971902,475,161
statechart.Statechart14Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8032407407407408,306,183
statechart.Statechart14,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5975159642401021,342,132
statechart.Statechart2Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.470949112175931,1464,486
statechart.Statechart2,BRANCH;METHODNOEXCEPTION;OUTPUT,0.34445274863801395,2003,927
statechart.Statechart3Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7677777777777778,125,107
statechart.Statechart3,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5430797101449275,139,70
statechart.Statechart4Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9152473641524738,155,142
statechart.Statechart4,BRANCH;METHODNOEXCEPTION;OUTPUT,0.957327344188658,167,159
statechart.Statechart5Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6187374028217679,190,126
statechart.Statechart5,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5314762500192963,212,114
statechart.Statechart6Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7744444444444444,125,110
statechart.Statechart6,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5430797101449275,139,71
statechart.Statechart7Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5829588839941263,268,162
statechart.Statechart7,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5265032568997327,291,128
statechart.StateMachineSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9629629629629629,107,97
statechart.StateMachine,BRANCH;METHODNOEXCEPTION;OUTPUT,0.57385477582846,125,61
statechart.StreetCrossingSystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5624726955002184,129,51
statechart.StreetCrossingSystem,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6124977093641194,139,62
statechart.SuperStepsDisabledSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8679918450560652,123,97
statechart.SuperStepsDisabled,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9621265584568337,137,132
statechart.SuperStepsEnabledSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8951690821256039,129,111
statechart.SuperStepsEnabled,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9603864734299518,147,140
statechart.mrw.statechart.SwitchSMSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7419287211740042,290,128
statechart.mrw.statechart.SwitchSM,BRANCH;METHODNOEXCEPTION;OUTPUT,0.4739742437855645,316,108
statechart.SystemSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6556701030927835,113,67
statechart.System,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7198525987185781,170,112
statechart.Test_converter_entry_exit_actionsSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6754032258064516,181,121
statechart.Test_converter_entry_exit_actions,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5300858042793526,195,77
statechart.Test_converter_entry_exit_actions_expectedSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6788355408388521,177,121
statechart.Test_converter_entry_exit_actions_expected,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5329341984971124,191,79
statechart.Test_get_statechart_mappings31Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9102564102564102,92,83
statechart.Test_get_statechart_mappings31,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9538461538461539,99,95
statechart.Test_remove_duplicate_transitionsSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8095959595959595,84,74
statechart.Test_remove_duplicate_transitions,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9057886557886557,91,87
statechart.Test_remove_duplicate_transitions_expectedSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8135416666666666,82,73
statechart.Test_remove_duplicate_transitions_expected,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9105235042735043,89,86
statechart.Test_remove_unnecessary_nesting_orthogonal_stateSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8995726495726496,119,104
statechart.Test_remove_unnecessary_nesting_orthogonal_state,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9487179487179488,131,122
statechart.Test_remove_unnecessary_nesting_transfer_transitionsSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.869538077403246,104,83
statechart.Test_remove_unnecessary_nesting_transfer_transitions,BRANCH;METHODNOEXCEPTION;OUTPUT,0.902996254681648,111,93
statechart.Test_remove_unreachable_states_expectedSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9066437571592211,111,99
statechart.Test_remove_unreachable_states_expected,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9460481099656358,118,111
statechart.Test32Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7882783882783883,115,101
statechart.Test32,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6642291042291043,138,83
statechart.Test41Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7735474006116209,127,99
statechart.Test41,BRANCH;METHODNOEXCEPTION;OUTPUT,0.9322120285423038,145,140
statechart.mrw.statechart.TrackerSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7962962962962963,188,111
statechart.mrw.statechart.Tracker,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5516569200779727,207,79
statechart.TrafficLightSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7778752436647173,209,159
statechart.TrafficLight,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5826753720012147,247,126
statechart.TrafficLight_UnitSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7133520074696545,386,254
statechart.TrafficLight_Unit,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5320294784580498,438,191
statechart.TrafficLightCtrlSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7637572109355405,468,341
statechart.TrafficLightCtrl,BRANCH;METHODNOEXCEPTION;OUTPUT,0.550463247980178,521,190
statechart.TrafficLightCtrl1Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6765487961566393,378,181
statechart.TrafficLightCtrl1,BRANCH;METHODNOEXCEPTION;OUTPUT,0.529803534933399,404,144
statechart.TrafficLightStateMachineSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8286252354048965,253,170
statechart.TrafficLightStateMachine,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5552678384599289,287,108
statechart.TrolleySimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.7789473684210527,592,308
statechart.Trolley,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5673800636920864,681,252
statechart.TV_UnitSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.725215889464594,223,196
statechart.TV_Unit,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5143638457109959,243,98
statechart.TwoWayTrafficControlSimplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.5708874458874459,253,95
statechart.TwoWayTrafficControl,BRANCH;METHODNOEXCEPTION;OUTPUT,0.6415319380954467,278,119
statechart.TwoWayTrafficControl2Simplified,BRANCH;METHODNOEXCEPTION;OUTPUT,0.8241436925647453,154,105
